name of the place,category,latitude,longitude,visit_start,visit_end,description
Kalyana Venkateswara Temple,Temple,13.56,79.3,05:00,20:00,srinivasa temple complex
Prasanna Venkateswara Temple,Temple,13.5605,79.301,05:00,20:00,ancient temple shrine
Appalayagunta Temple,Temple,13.563,79.295,05:00,20:00,venkateswara temple site
Srikalahasti Temple,Temple,13.749,79.703,05:00,21:00,famous shiva temple
Surutapalli Temple,Temple,13.74,79.9,05:00,20:00,sleeping shiva temple
Nagari Temple,Temple,13.32,79.59,05:00,20:00,hill temple shrine
Chandragiri Temple,Temple,13.5855,79.3185,06:00,18:00,temple near fort
Yoga Narasimha Temple,Temple,13.7005,79.305,06:00,18:00,hilltop narasimha temple
Sri Prasanna Venkateswara,Temple,13.561,79.3025,05:00,20:00,temple near appalayagunta
Alipiri Temple,Temple,13.628,79.41,04:00,22:00,entry temple tirumala
Talakona Waterfalls,Sightseeing,13.802,79.21,06:00,17:00,highest waterfall region
Kapila Teertham Waterfall,Sightseeing,13.6358,79.4183,06:00,18:00,waterfall near temple
Akasa Ganga Waterfalls,Sightseeing,13.682,79.345,06:00,17:00,sacred waterfall site
Papavinasam Waterfalls,Sightseeing,13.6785,79.3502,06:00,17:00,holy waterfall site
Silathoranam Natural Arch,Sightseeing,13.6835,79.3475,06:00,17:00,natural rock arch
Chandragiri Fort,Sightseeing,13.585,79.318,09:00,17:00,historic fort view
Deer Park Tirumala,Sightseeing,13.685,79.355,06:00,18:00,wildlife viewing park
Seshachalam Hills,Sightseeing,13.7,79.3,06:00,18:00,scenic hill range
Tirumala Hills Viewpoint,Sightseeing,13.683,79.35,06:00,18:00,panoramic hill views
Japali Teertham,Sightseeing,13.69,79.36,06:00,18:00,forest water stream
Talakona Forest Reserve,Sightseeing,13.8015,79.2115,06:00,18:00,dense forest area
Sri Vari Padalu,Sightseeing,13.6835,79.3495,06:00,18:00,sacred footprints site
Rock Garden Tirumala,Sightseeing,13.684,79.348,06:00,18:00,sculpted rock garden
Eco Park Talakona,Sightseeing,13.804,79.213,06:00,18:00,eco tourism park
Papavinasam Dam,Sightseeing,13.679,79.351,06:00,17:00,dam scenic spot
Gogarbham Dam,Sightseeing,13.6905,79.355,06:00,17:00,reservoir scenic views
Srivari Mettu Viewpoint,Sightseeing,13.635,79.345,06:00,18:00,trek viewpoint hill
Talakona Canyon View,Sightseeing,13.803,79.212,06:00,18:00,canyon forest view
Seshachalam Valley View,Sightseeing,13.702,79.302,06:00,18:00,valley scenic point
Tirumala Sunset Point,Sightseeing,13.6845,79.349,17:30,19:00,sunset hill viewpoint
